Player,Team,FantPos,Age,G,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,PPR,PosRank,OvRank,Year,adp,draft_pick,draft_year,Experience,Rookie,Soph,Third
CalvinJohnson,Lions,WR,29,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.85,5.46,82.85,0.62,17.44,14,41.0,2014,4.1,2,2007,7,0,0,0
DeAndreHopkins,Texans,WR,22,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.94,4.75,75.62,0.38,14.44,15,42.0,2014,109.0,27,2013,1,0,1,0
DeSeanJackson,WFT,WR,28,15,0.0,0.0,0.0,0.0,0.0,0.27,0.47,0.0,6.33,3.73,77.93,0.4,13.97,16,43.0,2014,61.7,49,2008,6,0,0,0
KelvinBenjamin,Panthers,WR,23,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.06,4.56,63.0,0.56,14.11,17,44.0,2014,83.7,28,2014,0,1,0,0
JuliusThomas,Broncos,TE,26,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.77,3.31,37.62,0.92,12.61,7,45.0,2014,26.2,129,2011,3,0,0,0
FrankGore,49ers,RB,31,16,0.0,0.0,0.0,0.0,0.0,15.94,69.12,0.25,1.19,0.69,6.94,0.06,9.92,17,47.0,2014,56.3,65,2005,9,0,0,0
TravisKelce,Chiefs,TE,25,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.44,4.19,53.88,0.31,11.45,8,48.0,2014,146.2,63,2013,1,0,1,0
MikeWallace,Dolphins,WR,28,16,0.0,0.06,0.0,0.0,0.0,0.25,1.0,0.0,7.19,4.19,53.88,0.62,13.3,18,49.0,2014,76.1,84,2009,5,0,0,0
GiovaniBernard,Bengals,RB,23,13,0.0,0.0,0.0,0.0,0.0,12.92,52.31,0.38,4.54,3.31,26.85,0.15,14.45,18,50.0,2014,16.7,37,2013,1,0,1,0
TorreySmith,Ravens,WR,25,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,3.06,47.94,0.69,11.98,19,52.0,2014,56.4,58,2011,3,0,0,0
MattRyan,Falcons,QB,29,16,25.94,39.25,293.38,1.75,0.88,1.81,9.06,0.0,0.0,0.0,0.0,0.0,17.77,7,54.0,2014,67.6,3,2008,6,0,0,0
AnquanBoldin,49ers,WR,34,16,0.0,0.06,0.0,0.0,0.0,0.06,0.25,0.0,8.12,5.19,66.38,0.31,13.72,21,55.0,2014,115.3,54,2003,11,0,0,0
JulianEdelman,Patriots,WR,28,14,0.0,0.0,0.0,0.0,0.0,0.71,6.71,0.0,9.57,6.57,69.43,0.29,16.33,22,56.0,2014,48.3,232,2009,5,0,0,0
JordanMatthews,Eagles,WR,22,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.44,4.19,54.5,0.5,12.64,25,59.0,2014,121.4,42,2014,0,1,0,0
RyanTannehill,Dolphins,QB,26,16,24.5,36.88,252.81,1.69,0.75,3.5,19.44,0.06,0.06,0.06,-0.25,0.0,17.47,8,61.0,2014,147.6,8,2012,2,0,0,1
TomBrady,Patriots,QB,37,16,23.31,36.38,256.81,2.06,0.56,2.25,3.56,0.0,0.0,0.0,0.0,0.0,17.38,9,62.0,2014,61.4,199,2000,14,0,0,0
SammyWatkins,Bills,WR,21,16,0.0,0.0,0.0,0.0,0.0,0.12,0.5,0.0,8.0,4.06,61.38,0.38,12.38,26,63.0,2014,104.9,4,2014,0,1,0,0
RoddyWhite,Falcons,WR,33,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.93,5.71,65.79,0.5,15.15,27,64.0,2014,33.1,27,2005,9,0,0,0
AndreEllington,Cardinals,RB,25,12,0.0,0.0,0.0,0.0,0.0,16.75,55.0,0.25,5.33,3.83,32.92,0.17,14.79,20,65.0,2014,22.5,187,2013,1,0,1,0
JasonWitten,Cowboys,TE,32,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62,4.0,43.94,0.31,10.27,10,66.0,2014,66.6,69,2003,11,0,0,0
AndreWilliams,Giants,RB,22,16,0.0,0.0,0.0,0.0,0.0,13.56,45.06,0.44,2.31,1.12,8.12,0.0,9.07,21,67.0,2014,113.4,113,2014,0,1,0,0
EricDecker,Jets,WR,27,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.67,4.93,64.13,0.33,13.35,28,68.0,2014,83.3,87,2010,4,0,0,0
