Player,Team,FantPos,Age,G,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,PPR,PosRank,OvRank,Year,adp,draft_pick,draft_year,Experience,Rookie,Soph,Third
CodyLatimer,Broncos,WR,22,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,2.88,0.0,0.54,174,,2014,151.8,56,2014,0,1,0,0
DevontaFreeman,Falcons,RB,23,15,0.0,0.0,0.0,0.0,0.0,17.67,70.4,0.73,6.47,4.87,38.53,0.2,21.09,1,1.0,2015,96.2,103,2014,1,0,1,0
AntonioBrown,Steelers,WR,27,16,0.0,0.0,0.0,0.0,0.0,0.19,1.75,0.0,12.06,8.5,114.62,0.62,24.26,1,2.0,2015,2.5,195,2010,5,0,0,0
AdrianPeterson,Vikings,RB,30,16,0.0,0.0,0.0,0.0,0.0,20.44,92.81,0.69,2.25,1.88,13.88,0.0,16.29,2,3.0,2015,1.8,199,2002,13,0,0,0
AdrianPeterson,Vikings,RB,30,16,0.0,0.0,0.0,0.0,0.0,20.44,92.81,0.69,2.25,1.88,13.88,0.0,16.29,2,3.0,2015,1.8,7,2007,8,0,0,0
JulioJones,Falcons,WR,26,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.69,8.5,116.94,0.5,23.44,2,4.0,2015,6.2,6,2011,4,0,0,0
CamNewton,Panthers,QB,26,16,18.5,30.94,239.81,2.19,0.62,8.25,39.75,0.62,0.0,0.0,0.0,0.0,24.32,1,5.0,2015,119.1,1,2011,4,0,0,0
BrandonMarshall,Jets,WR,31,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.81,6.81,93.88,0.88,21.2,3,6.0,2015,50.5,119,2006,9,0,0,0
BrandonMarshall,Jets,WR,31,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.81,6.81,93.88,0.88,21.2,3,6.0,2015,50.5,142,2012,3,0,0,0
AllenRobinson,Jaguars,WR,22,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.44,5.0,87.5,0.88,19.0,4,7.0,2015,53.5,61,2014,1,0,1,0
RobGronkowski,Patriots,TE,26,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.8,78.4,0.73,17.04,1,9.0,2015,10.3,42,2010,5,0,0,0
DeAndreHopkins,Texans,WR,23,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.94,95.06,0.69,20.69,6,10.0,2015,28.7,27,2013,2,0,0,1
DougMartin,Buccaneers,RB,26,16,0.0,0.0,0.0,0.0,0.0,18.0,87.62,0.38,2.75,2.06,16.94,0.06,14.52,3,11.0,2015,38.0,31,2012,3,0,0,0
DeAngeloWilliams,Steelers,RB,32,16,0.0,0.0,0.0,0.0,0.0,12.5,56.69,0.69,2.94,2.5,22.94,0.0,14.46,4,12.0,2015,129.1,27,2006,9,0,0,0
ToddGurley,Rams,RB,21,13,0.0,0.0,0.0,0.0,0.0,17.62,85.08,0.77,2.0,1.62,14.46,0.0,16.03,5,14.0,2015,60.2,10,2015,0,1,0,0
JordanReed,WFT,TE,25,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.14,6.21,68.0,0.79,17.44,3,15.0,2015,158.4,85,2013,2,0,0,1
LamarMiller,Dolphins,RB,24,16,0.0,0.0,0.0,0.0,0.0,12.12,54.5,0.5,3.56,2.94,24.81,0.12,14.49,6,16.0,2015,22.3,97,2012,3,0,0,0
GregOlsen,Panthers,TE,30,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75,4.81,69.0,0.44,14.21,4,18.0,2015,45.1,31,2007,8,0,0,0
DelanieWalker,Titans,TE,31,15,0.0,0.0,0.0,0.0,0.0,0.07,2.4,0.0,8.87,6.27,72.53,0.4,16.29,5,19.0,2015,98.0,175,2006,9,0,0,0
TomBrady,Patriots,QB,38,16,25.12,39.0,298.12,2.25,0.44,2.12,3.31,0.19,0.06,0.06,2.25,0.0,21.54,2,20.0,2015,67.0,199,2000,15,0,0,0
DavidJohnson,Cardinals,RB,24,16,0.0,0.0,0.0,0.0,0.0,7.81,36.31,0.5,3.56,2.25,28.56,0.25,13.49,7,21.0,2015,118.0,241,2009,6,0,0,0
DavidJohnson,Cardinals,RB,24,16,0.0,0.0,0.0,0.0,0.0,7.81,36.31,0.5,3.56,2.25,28.56,0.25,13.49,7,21.0,2015,118.0,86,2015,0,1,0,0
DavidJohnson,Chargers,TE,28,16,0.0,0.0,0.0,0.0,0.0,0.12,0.25,0.0,0.12,0.06,0.25,0.0,-0.01,127,,2015,118.0,241,2009,6,0,0,0
DavidJohnson,Chargers,TE,28,16,0.0,0.0,0.0,0.0,0.0,0.12,0.25,0.0,0.12,0.06,0.25,0.0,-0.01,127,,2015,118.0,86,2015,0,1,0,0
RussellWilson,Seahawks,QB,27,16,20.56,30.19,251.5,2.12,0.5,6.44,34.56,0.06,0.0,0.0,0.0,0.0,21.02,3,24.0,2015,68.7,75,2012,3,0,0,0
MattForte,Bears,RB,30,13,0.0,0.0,0.0,0.0,0.0,16.77,69.08,0.31,4.46,3.38,29.92,0.23,16.52,9,25.0,2015,13.7,44,2008,7,0,0,0
TylerEifert,Bengals,TE,25,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.69,4.0,47.31,1.0,14.73,6,26.0,2015,95.5,21,2013,2,0,0,1
CalvinJohnson,Lions,WR,30,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.31,5.5,75.88,0.56,16.34,9,27.0,2015,13.1,2,2007,8,0,0,0
LataviusMurray,Raiders,RB,25,16,0.0,0.0,0.0,0.0,0.0,16.62,66.62,0.38,3.31,2.56,14.5,0.0,12.8,10,28.0,2015,33.2,181,2013,2,0,0,1
EricDecker,Jets,WR,28,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,5.33,68.47,0.8,16.85,10,29.0,2015,105.3,87,2010,5,0,0,0
LarryFitzgerald,Cardinals,WR,32,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.06,6.81,75.94,0.56,17.53,11,30.0,2015,84.1,3,2004,11,0,0,0
BrandinCooks,Saints,WR,22,16,0.0,0.0,0.0,0.0,0.0,0.5,1.12,0.0,8.06,5.25,71.12,0.56,15.85,12,31.0,2015,20.6,20,2014,1,0,1,0
FrankGore,Colts,RB,32,16,0.0,0.0,0.0,0.0,0.0,16.25,60.44,0.38,3.62,2.12,16.69,0.06,12.09,11,32.0,2015,27.7,65,2005,10,0,0,0
JarvisLandry,Dolphins,WR,23,16,0.06,0.06,0.56,0.0,0.0,1.12,7.06,0.06,10.38,6.88,72.31,0.25,17.21,13,33.0,2015,36.6,63,2014,1,0,1,0
DarrenMcFadden,Cowboys,RB,28,16,0.0,0.06,0.0,0.0,0.0,14.94,68.06,0.19,3.31,2.5,20.5,0.0,12.23,12,34.0,2015,84.6,4,2008,7,0,0,0
JeremyHill,Bengals,RB,23,16,0.0,0.0,0.0,0.0,0.0,13.94,49.62,0.69,1.19,0.94,4.94,0.06,10.64,13,35.0,2015,14.4,55,2014,1,0,1,0
MarkIngram,Saints,RB,26,12,0.0,0.0,0.0,0.0,0.0,13.83,64.08,0.5,5.0,4.17,33.75,0.0,16.95,14,37.0,2015,31.0,28,2011,4,0,0,0
DemaryiusThomas,Broncos,WR,28,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.06,6.56,81.5,0.38,16.71,15,38.0,2015,9.1,22,2010,5,0,0,0
SammyWatkins,Bills,WR,22,13,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,7.38,4.62,80.54,0.69,16.83,17,41.0,2015,62.5,4,2014,1,0,1,0
TravisKelce,Chiefs,TE,26,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.44,4.5,54.69,0.31,11.84,7,42.0,2015,50.6,63,2013,2,0,0,1
JeremyMaclin,Chiefs,WR,27,15,0.0,0.0,0.0,0.0,0.0,0.2,0.93,0.0,8.27,5.8,72.53,0.53,16.21,18,43.0,2015,38.8,19,2009,6,0,0,0
JonathanStewart,Panthers,RB,28,13,0.0,0.0,0.0,0.0,0.0,18.62,76.08,0.46,1.62,1.23,7.62,0.08,12.52,15,44.0,2015,53.0,13,2008,7,0,0,0
LeSeanMcCoy,Bills,RB,27,12,0.0,0.0,0.0,0.0,0.0,16.92,74.58,0.25,4.17,2.67,24.33,0.17,14.89,16,45.0,2015,24.4,53,2009,6,0,0,0
CarsonPalmer,Cardinals,QB,36,16,21.38,33.56,291.94,2.19,0.69,1.56,1.5,0.06,0.0,0.0,0.0,0.0,19.32,5,47.0,2015,128.4,1,2003,12,0,0,0
DeMarcoMurray,Eagles,RB,27,15,0.0,0.0,0.0,0.0,0.0,12.87,46.8,0.4,3.67,2.93,21.47,0.07,12.29,17,48.0,2015,17.6,71,2011,4,0,0,0
DrewBrees,Saints,QB,36,15,28.53,41.8,324.67,2.13,0.73,1.6,0.93,0.07,0.0,0.0,0.0,0.0,20.28,6,49.0,2015,56.8,32,2001,14,0,0,0
EmmanuelSanders,Broncos,WR,28,15,0.0,0.0,0.0,0.0,0.0,0.2,1.93,0.0,9.07,5.07,75.67,0.4,14.96,19,50.0,2015,31.9,82,2010,5,0,0,0
RonnieHillman,Broncos,RB,24,16,0.0,0.0,0.0,0.0,0.0,12.94,53.94,0.44,2.19,1.5,6.94,0.0,10.09,18,52.0,2015,114.0,67,2012,3,0,0,0
AaronRodgers,Packers,QB,32,16,21.69,35.75,238.81,1.94,0.5,3.62,21.5,0.06,0.0,0.0,0.0,0.0,18.82,7,53.0,2015,27.1,24,2005,10,0,0,0
MichaelCrabtree,Raiders,WR,28,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.12,5.31,57.62,0.56,14.45,21,54.0,2015,135.6,10,2009,6,0,0,0
JordanMatthews,Eagles,WR,23,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.88,5.31,62.31,0.5,14.42,22,55.0,2015,24.4,42,2014,1,0,1,0
RashadJennings,Giants,RB,30,16,0.0,0.0,0.0,0.0,0.0,12.19,53.94,0.19,2.5,1.81,18.5,0.06,10.31,19,56.0,2015,81.7,250,2009,6,0,0,0
JohnBrown,Cardinals,WR,25,15,0.0,0.0,0.0,0.0,0.0,0.2,1.47,0.0,6.73,4.33,66.87,0.47,13.83,23,57.0,2015,64.3,91,2014,1,0,1,0
GiovaniBernard,Bengals,RB,24,16,0.0,0.0,0.0,0.0,0.0,9.62,45.62,0.12,4.12,3.06,29.5,0.0,11.32,20,59.0,2015,75.5,37,2013,2,0,0,1
RichardRodgers,Packers,TE,23,16,0.0,0.0,0.0,0.0,0.0,0.06,0.69,0.0,5.31,3.62,31.88,0.5,10.01,9,60.0,2015,151.6,98,2014,1,0,1,0
JamesJones,Packers,WR,31,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19,3.12,55.62,0.5,11.94,25,61.0,2015,153.9,78,2007,8,0,0,0
AmariCooper,Raiders,WR,21,16,0.0,0.0,0.0,0.0,0.0,0.19,-0.19,0.0,8.12,4.5,66.88,0.38,13.29,26,62.0,2015,40.8,4,2015,0,1,0,0
CharlesSims,Buccaneers,RB,25,16,0.0,0.0,0.0,0.0,0.0,6.69,33.06,0.0,4.38,3.19,35.06,0.25,11.25,21,65.0,2015,150.3,69,2014,1,0,1,0
MikeEvans,Buccaneers,WR,22,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.87,4.93,80.4,0.2,14.04,28,66.0,2015,30.0,7,2014,1,0,1,0
MatthewStafford,Lions,QB,27,16,24.88,37.0,266.38,2.0,0.81,2.75,9.94,0.06,0.06,0.06,-0.38,0.0,18.18,9,67.0,2015,94.6,1,2009,6,0,0,0
ZachErtz,Eagles,TE,25,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.47,5.0,56.87,0.13,11.35,10,69.0,2015,126.2,35,2013,2,0,0,1
EliManning,Giants,QB,34,16,24.19,38.62,277.0,2.19,0.88,1.25,3.81,0.0,0.0,0.0,0.0,0.0,17.96,10,70.0,2015,105.9,1,2004,11,0,0,0
JamesStarks,Packers,RB,29,16,0.0,0.0,0.0,0.0,0.0,9.25,37.56,0.12,3.31,2.69,24.5,0.19,10.39,23,71.0,2015,156.5,193,2010,5,0,0,0
RandallCobb,Packers,WR,25,16,0.0,0.0,0.0,0.0,0.0,0.81,3.12,0.0,8.06,4.94,51.81,0.38,13.06,29,74.0,2015,15.9,64,2011,4,0,0,0
EddieLacy,Packers,RB,25,15,0.0,0.0,0.0,0.0,0.0,12.47,50.53,0.2,1.87,1.33,12.53,0.13,9.37,24,75.0,2015,4.0,61,2013,2,0,0,1
PhilipRivers,Chargers,QB,34,16,27.31,41.31,299.5,1.81,0.81,1.06,1.75,0.0,0.0,0.0,0.0,0.0,17.78,12,76.0,2015,113.3,4,2004,11,0,0,0
DerekCarr,Raiders,QB,24,16,21.88,35.81,249.19,2.0,0.81,2.06,8.62,0.0,0.0,0.0,0.0,0.0,16.96,14,,2015,163.2,36,2014,1,0,1,0
TyrodTaylor,Bills,QB,26,14,17.29,27.14,216.79,1.43,0.43,7.43,40.57,0.29,0.07,0.07,0.29,0.0,19.4,16,,2015,154.5,180,2011,4,0,0,0
RyanTannehill,Dolphins,QB,27,16,22.69,36.62,263.0,1.5,0.75,2.0,8.81,0.06,0.06,0.06,0.56,0.0,16.14,17,,2015,89.1,8,2012,3,0,0,0
MattRyan,Falcons,QB,30,16,25.44,38.38,286.94,1.31,1.0,2.25,3.94,0.0,0.0,0.0,0.0,0.0,14.62,19,,2015,78.2,3,2008,7,0,0,0
BenRoethlisberger,Steelers,QB,33,12,26.58,39.08,328.17,1.75,1.33,1.25,2.42,0.0,0.0,0.0,-0.25,0.0,19.01,20,,2015,63.8,11,2004,11,0,0,0
JayCutler,Bears,QB,32,15,20.73,32.2,243.93,1.4,0.73,2.53,13.4,0.07,0.0,0.0,0.0,0.0,15.1,21,,2015,155.7,11,2006,9,0,0,0
MarcusMariota,Titans,QB,22,12,19.17,30.83,234.83,1.58,0.83,2.83,21.0,0.17,0.08,0.08,3.42,0.08,17.58,22,,2015,162.6,2,2015,0,1,0,0
TeddyBridgewater,Vikings,QB,23,16,18.25,27.94,201.94,0.88,0.56,2.75,12.0,0.19,0.0,0.0,0.0,0.0,12.52,23,,2015,122.5,32,2014,1,0,1,0
SamBradford,Eagles,QB,28,14,24.71,38.0,266.07,1.36,1.0,1.86,2.79,0.0,0.0,0.0,0.0,0.0,13.92,24,,2015,82.1,1,2010,5,0,0,0
JoeFlacco,Ravens,QB,30,10,26.6,41.3,279.1,1.4,1.2,1.3,2.3,0.3,0.0,0.0,0.0,0.0,16.19,26,,2015,146.0,18,2008,7,0,0,0
AndrewLuck,Colts,QB,26,7,23.14,41.86,268.71,2.14,1.71,4.71,28.0,0.0,0.0,0.0,0.0,0.0,18.69,28,,2015,16.9,1,2012,3,0,0,0
RuebenRandle,Giants,WR,24,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62,3.56,49.81,0.5,11.54,31,,2015,147.7,63,2012,3,0,0,0
MichaelFloyd,Cardinals,WR,26,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.93,3.47,56.6,0.4,11.53,33,,2015,126.2,13,2012,3,0,0,0
MartavisBryant,Steelers,WR,24,11,0.0,0.0,0.0,0.0,0.0,0.45,3.36,0.09,8.36,4.55,69.55,0.55,15.47,34,,2015,67.2,118,2014,1,0,1,0
GoldenTate,Lions,WR,27,16,0.0,0.0,0.0,0.0,0.0,0.38,2.56,0.0,8.0,5.62,50.81,0.38,13.09,35,,2015,43.5,60,2010,5,0,0,0
PierreGarcon,WFT,WR,29,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.94,4.5,48.56,0.38,11.61,38,,2015,119.3,205,2008,7,0,0,0
TylerLockett,Seahawks,WR,23,16,0.0,0.0,0.0,0.0,0.0,0.31,1.25,0.0,4.31,3.19,41.5,0.38,10.34,36,,2015,140.2,69,2015,0,1,0,0
JulianEdelman,Patriots,WR,29,9,0.0,0.0,0.0,0.0,0.0,0.33,2.56,0.0,9.78,6.78,76.89,0.78,19.17,39,,2015,41.9,232,2009,6,0,0,0
ColinKaepernick,49ers,QB,28,9,16.0,27.11,179.44,0.67,0.56,5.0,28.44,0.11,0.0,0.0,0.0,0.0,12.24,31,,2015,147.5,36,2011,4,0,0,0
MarvinJones,Bengals,WR,25,16,0.0,0.0,0.0,0.0,0.0,0.31,2.06,0.0,6.44,4.06,51.0,0.25,10.87,41,,2015,133.9,166,2012,3,0,0,0
DarrenSproles,Eagles,RB,32,16,0.0,0.0,0.0,0.0,0.0,5.19,19.81,0.19,5.19,3.44,24.25,0.06,10.09,32,,2015,106.4,130,2005,10,0,0,0
MarkusWheaton,Steelers,WR,24,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94,2.75,46.81,0.31,9.43,42,,2015,94.1,79,2013,2,0,0,1
AlshonJeffery,Bears,WR,25,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.44,6.0,89.67,0.44,17.63,43,,2015,26.1,45,2012,3,0,0,0
RyanMathews,Eagles,RB,28,13,0.0,0.0,0.0,0.0,0.0,8.15,41.46,0.46,2.15,1.54,11.23,0.08,9.58,33,,2015,78.9,12,2010,5,0,0,0
DukeJohnson,Browns,RB,22,16,0.0,0.0,0.0,0.0,0.0,6.5,23.69,0.0,4.62,3.81,33.38,0.12,10.27,34,,2015,101.8,77,2015,0,1,0,0
TerranceWilliams,Cowboys,WR,26,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.81,3.25,52.5,0.19,9.62,44,,2015,112.4,74,2013,2,0,0,1
AnquanBoldin,49ers,WR,35,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.93,4.93,56.36,0.29,12.14,45,,2015,97.3,54,2003,12,0,0,0
ShaneVereen,Giants,RB,26,16,0.0,0.0,0.0,0.0,0.0,3.81,16.25,0.0,5.06,3.69,30.88,0.25,9.9,37,,2015,77.9,56,2011,4,0,0,0
AlfredBlue,Texans,RB,24,16,0.0,0.0,0.0,0.0,0.0,11.44,43.62,0.12,1.0,0.94,6.81,0.06,6.98,39,,2015,86.4,181,2014,1,0,1,0
KeenanAllen,Chargers,WR,23,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.12,8.38,90.62,0.5,20.19,48,,2015,48.7,76,2013,2,0,0,1
MattJones,WFT,RB,22,13,0.0,0.0,0.0,0.0,0.0,11.08,37.69,0.23,1.92,1.46,23.38,0.08,8.8,40,,2015,124.4,21,2005,10,0,0,0
MattJones,WFT,RB,22,13,0.0,0.0,0.0,0.0,0.0,11.08,37.69,0.23,1.92,1.46,23.38,0.08,8.8,40,,2015,124.4,95,2015,0,1,0,0
AmeerAbdullah,Lions,RB,22,16,0.0,0.0,0.0,0.0,0.0,8.94,37.31,0.12,2.38,1.56,11.44,0.06,7.31,41,,2015,41.5,54,2015,0,1,0,0
TorreySmith,49ers,WR,26,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88,2.06,41.44,0.25,7.83,49,,2015,130.6,58,2011,4,0,0,0
JustinForsett,Ravens,RB,30,10,0.0,0.0,0.0,0.0,0.0,15.1,64.1,0.2,4.1,3.1,15.3,0.0,12.24,42,,2015,19.3,233,2008,7,0,0,0
PeytonManning,Broncos,QB,39,10,19.8,33.1,224.9,0.9,1.7,0.6,-0.6,0.0,0.0,0.0,0.0,0.0,9.14,34,,2015,54.9,1,1998,17,0,0,0
AlfredMorris,WFT,RB,27,16,0.0,0.0,0.0,0.0,0.0,12.62,46.94,0.06,0.81,0.62,3.44,0.0,6.04,46,,2015,48.2,173,2012,3,0,0,0
JasonWitten,Cowboys,TE,33,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,4.81,44.56,0.19,10.27,13,,2015,83.7,69,2003,12,0,0,0
JamaalCharles,Chiefs,RB,29,5,0.0,0.0,0.0,0.0,0.0,14.2,72.8,0.8,5.8,4.2,35.4,0.2,20.22,50,,2015,4.5,73,2008,7,0,0,0
KyleRudolph,Vikings,TE,26,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.56,3.06,30.94,0.31,8.03,15,,2015,110.5,43,2011,4,0,0,0
MarquesColston,Saints,WR,32,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15,3.46,40.0,0.31,9.31,58,,2015,118.3,252,2006,9,0,0,0
JuliusThomas,Jaguars,TE,27,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,3.83,37.92,0.42,10.12,16,,2015,130.5,129,2011,4,0,0,0
DevinFunchess,Panthers,WR,21,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.94,1.94,29.56,0.31,6.64,59,,2015,96.1,41,2015,0,1,0,0
MelvinGordon,Chargers,RB,22,14,0.0,0.0,0.0,0.0,0.0,13.14,45.79,0.0,2.64,2.36,13.71,0.0,7.74,52,,2015,51.8,15,2015,0,1,0,0
DeSeanJackson,WFT,WR,29,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.44,3.33,58.67,0.44,11.64,60,,2015,74.0,49,2008,7,0,0,0
VincentJackson,Buccaneers,WR,32,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,3.3,54.3,0.3,10.73,62,,2015,70.1,61,2005,10,0,0,0
AndreJohnson,Colts,WR,34,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81,2.56,31.44,0.25,7.21,63,,2015,37.7,30,1996,19,0,0,0
AndreJohnson,Colts,WR,34,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81,2.56,31.44,0.25,7.21,63,,2015,37.7,3,2003,12,0,0,0
JimmyGraham,Seahawks,TE,29,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.73,4.36,55.0,0.18,10.95,18,,2015,33.5,95,2010,5,0,0,0
OwenDaniels,Broncos,TE,33,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81,2.88,32.31,0.19,7.23,21,,2015,89.7,98,2006,9,0,0,0
CarlosHyde,49ers,RB,25,7,0.0,0.0,0.0,0.0,0.0,16.43,67.14,0.43,2.14,1.57,7.57,0.0,11.61,54,,2015,44.7,57,2014,1,0,1,0
MarshawnLynch,Seahawks,RB,29,7,0.0,0.0,0.0,0.0,0.0,15.86,59.57,0.43,3.0,1.86,11.43,0.0,11.81,55,,2015,8.6,12,2007,8,0,0,0
SteveJohnson,Chargers,WR,29,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,4.5,49.7,0.3,11.27,70,,2015,101.3,170,1999,16,0,0,0
SteveJohnson,Chargers,WR,29,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,4.5,49.7,0.3,11.27,70,,2015,101.3,224,2008,7,0,0,0
DeVanteParker,Dolphins,WR,22,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,1.86,35.29,0.21,6.67,71,,2015,109.5,14,2015,0,1,0,0
JosephRandle,Cowboys,RB,24,6,0.0,0.0,0.0,0.0,0.0,12.67,52.5,0.67,1.67,1.67,14.33,0.0,12.35,57,,2015,56.6,151,2013,2,0,0,1
MartellusBennett,Bears,TE,28,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.27,4.82,39.91,0.27,10.45,26,,2015,60.3,61,2008,7,0,0,0
KennyStills,Dolphins,WR,23,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.94,1.69,27.5,0.19,5.56,74,,2015,162.0,144,2013,2,0,0,1
KendallWright,Titans,WR,26,10,0.0,0.0,0.0,0.0,0.0,0.5,1.7,0.0,6.0,3.6,40.8,0.3,9.65,76,,2015,88.0,20,2012,3,0,0,0
AndreEllington,Cardinals,RB,26,10,0.0,0.0,0.0,0.0,0.0,4.5,28.9,0.3,2.4,1.5,14.8,0.0,7.47,59,,2015,43.7,187,2013,2,0,0,1
MikeWallace,Vikings,WR,29,16,0.0,0.0,0.0,0.0,0.0,0.06,0.38,0.0,4.5,2.44,29.56,0.12,6.18,77,,2015,89.9,84,2009,6,0,0,0
DezBryant,Cowboys,WR,27,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.44,44.56,0.33,9.9,80,,2015,7.6,24,2010,5,0,0,0
JordanCameron,Dolphins,TE,27,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38,2.19,24.12,0.19,5.72,29,,2015,76.9,102,2011,4,0,0,0
RoddyWhite,Falcons,WR,34,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38,2.69,31.62,0.06,6.22,82,,2015,109.0,27,2005,10,0,0,0
DavanteAdams,Packers,WR,23,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.23,3.85,37.15,0.08,8.18,83,,2015,34.6,53,2014,1,0,1,0
BrandonLaFell,Patriots,WR,29,11,0.0,0.0,0.0,0.0,0.0,0.18,0.82,0.0,6.73,3.36,46.82,0.0,8.13,85,,2015,139.6,78,2010,5,0,0,0
DenardRobinson,Jaguars,RB,25,13,0.0,0.0,0.0,0.0,0.0,5.15,20.46,0.08,2.31,1.62,12.62,0.0,5.23,70,,2015,154.2,135,2013,2,0,0,1
BishopSankey,Titans,RB,23,13,0.0,0.0,0.0,0.0,0.0,3.62,14.85,0.08,1.69,1.08,10.69,0.08,4.4,73,,2015,100.2,54,2014,1,0,1,0
TevinColeman,Falcons,RB,22,12,0.0,0.0,0.0,0.0,0.0,7.25,32.67,0.08,0.92,0.17,1.17,0.0,3.55,74,,2015,88.9,73,2015,0,1,0,0
VernonDavis,2TM,TE,31,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87,2.53,26.33,0.0,5.17,37,,2015,150.3,6,2006,9,0,0,0
TreMason,Rams,RB,22,13,0.0,0.0,0.0,0.0,0.0,5.77,15.92,0.08,1.92,1.38,6.77,0.0,3.96,80,,2015,109.0,75,2014,1,0,1,0
AndreWilliams,Giants,RB,23,16,0.0,0.0,0.0,0.0,0.0,5.5,16.06,0.06,0.19,0.06,0.44,0.0,2.21,78,,2015,154.8,113,2014,1,0,1,0
NelsonAgholor,Eagles,WR,22,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38,1.77,21.77,0.08,4.25,103,,2015,56.6,20,2015,0,1,0,0
EddieRoyal,Bears,WR,29,9,0.0,0.0,0.0,0.0,0.0,0.11,-0.11,0.0,5.56,4.11,26.44,0.11,7.41,108,,2015,84.6,42,2008,7,0,0,0
PhillipDorsett,Colts,WR,22,11,0.0,0.0,0.0,0.0,0.0,0.27,1.55,0.0,3.55,1.64,20.45,0.09,4.2,111,,2015,153.9,29,2015,0,1,0,0
TyMontgomery,Packers,RB,22,6,0.0,0.0,0.0,0.0,0.0,0.5,2.33,0.0,3.17,2.5,22.67,0.33,7.0,87,,2015,129.5,94,2015,0,1,0,0
ChristineMichael,2TM,RB,25,8,0.0,0.0,0.0,0.0,0.0,6.75,30.38,0.0,0.75,0.38,2.0,0.0,3.61,89,,2015,148.8,62,2013,2,0,0,1
DavidCobb,Titans,RB,22,7,0.0,0.0,0.0,0.0,0.0,7.43,20.86,0.14,0.29,0.14,-0.29,0.0,3.06,102,,2015,130.4,138,2015,0,1,0,0
